ID;Респондент;Вік;Стать;Чи грає у відеоігри;Девайс;Улюблена гра;Час;Жанр;Витрата грошей;Позитивний вплив;Unnamed: 11;Негативний вплив;Відповідь респендента про негативний вплив 
65;Дитина;14;Жіноча;Ні;телефон;Roblox;близько 2 годин;MMOG;Так;Так;Коли грала в Traffic Rider покращила свою швидкість реакції, спостережливість;Ні;Ні
66;Дитина;13;Жіноча;Ні;-;Дурак онлайн ;-;Головоломки;Ні;Так;Обігрую хлопців в карти і вони сумують, що їх обіграла жінка;Ні;Ні не помічала
67;Дитина;14;Жіноча;Ні;-;-;-;-;Ні;Ні;Не граю ;Ні;Ні
68;Дитина;11;Чоловіча;Так;комп'ютер/ноутбук;Rust;4 години і більше;Шутери та бойовики;Ні;Так;rust ;Ні;Не помічав
69;Батьки;11;Жіноча;Так;телефон;Roblox;близько 2 годин;MMOG;Ні;Ні;Ні;Ні;Ні
70;Батьки;12;Жіноча;Так;комп'ютер/ноутбук;Roblox;менше 1 години;Пісочниці;Ні;Ні;Не помічала ;Так;Коли з друзями гуляють, то постійно в телефонах сидять, але грають разом 
71;Батьки;11;Жіноча;Так;комп'ютер/ноутбук;Roblox;близько 1 години;Симулятори;Ні;Ні;Ні;Ні;Ні
72;Батьки;12;Чоловіча;Так;комп'ютер/ноутбук;Roblox, Minecraft, Counter-Strike;4 години і більше;MMOG;Так;Так;Так, моторика, англійська мова при спілкуванні в чатах з іноземними друзями;Так;Так, він гіперемоційний, тому сильно злиться при поразках або сильно радіє перемогам
73;Дитина;11;Чоловіча;Так;комп'ютер/ноутбук;Undertale;близько 1 години;Шутери та бойовики;Ні;Так;"Так
";Ні;Ні
74;Дитина;8;Чоловіча;Так;телефон;Roblox;близько 2 годин;Жахи;Ні;Так;"Minecraft научив мене що єсть травоїдні і хижі 
трарини ";Так;"Minecraft мені мама каже що у мене із за цого у мене болить голова і я не думаю 

"
75;Батьки;9;Жіноча;Так;телефон;-;близько 1 години;Симулятори;Ні;Ні;Ні, покращень не помічала;Так;Важкість у голові і біль в очах.
76;Батьки;11;Жіноча;Так;телефон;Brawl Stars;близько 2 годин;MMOG;Ні;Ні;-;Ні;-
77;Дитина;11;Жіноча;Так;телефон;Brawl Stars;близько 2 годин;MMOG;Ні;Ні;Robloxпокрощив дружні здібності ;Ні;-
78;Дитина;13;Жіноча;Так;телефон;-;менше 1 години;Жахи;Ні;Ні;Ні;Ні;Ніяк не впливає 
79;Дитина;14;Жіноча;Так;телефон;Roblox;близько 1 години;MMOG;Ні;Так;Block blast покращив уважність;Ні;Не було такого..(я не деградую)
80;Батьки;8;Жіноча;Так;телефон;Roblox;близько 3 годин;MMOG;Так;Ні;Ні;Ні;Ні
81;Батьки;11;Чоловіча;Так;телефон;EA Sports FC Mobile;близько 1 години;Гонки;Ні;Так;Так ;Ні;Ні
82;Батьки;11;Чоловіча;Так;телефон;Roblox;близько 3 годин;Шутери та бойовики;Ні;Так;Майнкрафт ,гарно впливає на конструювання ;Ні;Ні
83;Дитина;13;Чоловіча;Так;комп'ютер/ноутбук;Dead by daylight, Dota 2, Rust, GTA V;близько 2 годин;Шутери та бойовики;Так;Так;Майже всі онлайн ігри впливали на мої навички комунікабельності. Багато ігр повідують захоплюючі сюжети та історії, що часто еквівалентно прочитаній книзі. Але мова не про сучасні мобайл-ігри по типу Standoff, Brawl stars. ;Так;Захоплюючий сюжет може викликати негативні емоції, розчарування в якомусь персонажі через його поступок і тому подібне
84;Батьки;12;Жіноча;Так;планшет;Standoff;близько 2 годин;Шутери та бойовики;Ні;Ні;Ні;Ні;Ні
85;Дитина;11;Чоловіча;Так;комп'ютер/ноутбук;Rust;близько 3 годин;Пісочниці;Ні;Так;Гра раст мі вплинула на розвиток реакції та креативності;Так;Я помітив що гра раст мі змінила мою агресивність
86;Дитина;12;Жіноча;Так;планшет;Roblox;близько 1 години;MMOG;Ні;Ні;Ні;Ні;Ні
